UID        PID  PPID  C STIME TTY          TIME CMD
root      5772     2  0 Feb03 ?        00:00:00 [jfsCommit]
root      5773     2  0 Feb03 ?        00:00:00 [jfsCommit]
root      5774     2  0 Feb03 ?        00:00:00 [jfsSync]
root      5818     1  0 Jan13 ?        00:00:08 /usr/lib/packagekit/packagekitd
root      5923     1  0 00:08 ?        00:00:00 /usr/sbin/cupsd -l
root      5924     1  0 00:08 ?        00:00:00 /usr/sbin/cups-browsed
root      6283     1  0 Jan26 ?        00:00:05 /usr/lib/policykit-1/polkitd --no-debug
root      6524     2  0 00:31 ?        00:00:01 [kworker/2:0]
root      9523     2  0 Jan13 ?        00:00:00 [nfsiod]
root     11472     2  0 06:06 ?        00:00:01 [kworker/0:2]
mg1069   16578     1  0 Feb04 ?        00:00:00 ssh-agent -s
mg1069   18038     1  0 Feb05 ?        00:00:00 ssh-agent -s
mg1069   18355     1  0 Feb05 ?        00:00:00 ssh-agent -s
root     18718     2  0 Jan25 ?        00:00:00 [NFSv4 callback]
root     21286  1038  0 09:59 ?        00:00:00 sshd: tam0301 [priv]
tam0301  21325 21286  0 09:59 ?        00:00:00 sshd: tam0301@pts/0
tam0301  21326 21325  0 09:59 pts/0    00:00:00 -bash
root     22785     2  0 11:26 ?        00:00:00 [kworker/u6:0]
root     22861  1038  0 11:33 ?        00:00:00 sshd: mff0033 [priv]
mff0033  22911 22861  0 11:34 ?        00:00:00 sshd: mff0033@pts/4
mff0033  22912 22911  0 11:34 pts/4    00:00:00 -bash
root     23101  1038  0 11:44 ?        00:00:00 sshd: as2411 [priv]
as2411   23152 23101  0 11:44 ?        00:00:00 sshd: as2411@notty
as2411   23154 23152  0 11:44 ?        00:00:00 /usr/lib/openssh/sftp-server
root     23198     2  0 11:47 ?        00:00:00 [kworker/u6:1]
root     23199  1038  0 11:47 ?        00:00:00 sshd: as2411 [priv]
as2411   23237 23199  0 11:47 ?        00:00:00 sshd: as2411@pts/5
as2411   23238 23237  0 11:47 pts/5    00:00:00 -bash
tam0301  23524 21326  0 11:58 pts/0    00:00:00 script rec03
tam0301  23525 23524  0 11:58 pts/2    00:00:00 bash -i
root     23572  1038  0 12:00 ?        00:00:00 sshd: mg1069 [priv]
root     23585     2  0 12:00 ?        00:00:00 [kworker/1:2]
root     23614     2  0 12:00 ?        00:00:00 [kworker/2:2]
mg1069   23635 23572  0 12:00 ?        00:00:00 sshd: mg1069@notty
mg1069   23636 23635  0 12:00 ?        00:00:00 /usr/lib/openssh/sftp-server
root     23638  1038  0 12:01 ?        00:00:00 sshd: mg1069 [priv]
mg1069   23676 23638  0 12:01 ?        00:00:00 sshd: mg1069@pts/3
mg1069   23677 23676  0 12:01 pts/3    00:00:00 -bash
root     23720  1038  0 12:02 ?        00:00:00 sshd: tpb0061 [priv]
root     23750     2  0 12:02 ?        00:00:00 [kworker/0:1]
tpb0061  23771 23720  0 12:02 ?        00:00:00 sshd: tpb0061@pts/6
tpb0061  23772 23771  0 12:02 pts/6    00:00:00 -bash
mg1069   23807 23677  0 12:02 pts/3    00:00:00 ./list
root     23829     2  0 12:04 ?        00:00:00 [kworker/u6:2]
root     23841     2  0 12:06 ?        00:00:00 [kworker/1:1]
root     23896     2  0 12:09 ?        00:00:00 [kworker/0:0]
root     23919     2  0 12:09 ?        00:00:00 [kworker/2:1]
root     23926  1038  0 12:09 ?        00:00:00 sshd: tpb0061 [priv]
tpb0061  23964 23926  0 12:09 ?        00:00:00 sshd: tpb0061@notty
tpb0061  23965 23964  0 12:09 ?        00:00:00 /usr/lib/openssh/sftp-server
root     23983  1038  0 12:10 ?        00:00:00 sshd: tpb0061 [priv]
tpb0061  24021 23983  0 12:10 ?        00:00:00 sshd: tpb0061@notty
tpb0061  24022 24021  0 12:11 ?        00:00:00 /usr/lib/openssh/sftp-server
root     24066     2  0 12:12 ?        00:00:00 [kworker/1:0]
mff0033  24074 22912  0 12:12 pts/4    00:00:00 nano Lab3B.cpp
tam0301  24076 23525  0 12:12 pts/2    00:00:00 ps -ef
root     24539  1038  0 Jan25 ?        00:00:02 sshd: adb0301 [priv]
adb0301  24577 24539  0 Jan25 ?        00:00:03 sshd: adb0301@notty
adb0301  24578 24577  0 Jan25 ?        00:00:00 /usr/lib/openssh/sftp-server
statd    28069     1  0 Jan18 ?        00:00:00 /sbin/rpc.statd --no-notify
